date,text,place
2020-11-26 13:34:31,corona-news im live-ticker - söder: alkoholverbot in hotspot-innenstädten https://t.co/nfowrco0kj #stuttgart #nachrichten,Stuttgart
2020-11-26 13:28:58,einer der gäste einer #corona-party in #heidelberg versteckte sich hinter einer waschmaschine: https://t.co/vimxnntsqw,Stuttgart
2020-11-26 13:19:09,corona-hotspot hildburghausen: 400 demonstranten ziehen singend durch die stadt https://t.co/0hnqijpvow,Stuttgart
2020-11-26 13:04:22,so wird der #corona-#impfstoff im südwesten verteilt https://t.co/9oezfqyzvo #impfung #coronaimpfung,Stuttgart
2020-11-26 13:04:04,lockerungen der corona-regeln: frankreich öffnet skigebiete – skilifte bleiben zu https://t.co/pgqvdrlvkb,Stuttgart
2020-11-26 13:00:43,"@1911_benji @hoellenaufsicht solang querdenker mit 10.000 - 12.000 leuten corona partys feiern dürfen, und gottesdi… https://t.co/z4gfouzjir",Stuttgart
2020-11-26 12:59:51,"@bianca55561494 gerade die leute die in mathe nicht aufgepasst haben, verstehen nicht die dynamik der #corona-pande… https://t.co/d5toywpsdj",Stuttgart
2020-11-26 12:59:25,@sleepyangii_ war ich letztes jahr auch ( wäre ohne corona sitzengeblieben). dieses jahr bin ich voll schlau hab üb… https://t.co/46s8edoghy,Stuttgart
2020-11-26 12:57:50,kunstmuseum stuttgart und corona: ulrike groos will am ausstellungsprogramm festhalten https://t.co/ot3ka7jikc,Stuttgart
2020-11-26 12:53:46,corona-lockerungen zu weihnachten: modellrechnung zeigt mögliche entwicklungen nach dem fest https://t.co/fdckimbqcq,Stuttgart
2020-11-26 12:51:29,corona-news im live-ticker - söder präsentiert corona- beschlüsse für bayern https://t.co/znynn1qwyq #stuttgart #nachrichten,Stuttgart
2020-11-26 12:51:03,@einfach_anni @1893sarah die sind aber alle geschlossen wegen corona hysterie!!11!!!,Stuttgart
2020-11-26 12:45:07,"""es ist wichtig, dass sich die regierungschefs auf erleichterungen für #weihanchten verständigt haben. für viele is… https://t.co/a1lvltgcoy",Stuttgart
2020-11-26 12:45:06,"""es bleibt beim vorrang für präsenzunterricht an schulen. das recht auf bildung wird am besten im klassenzimmer ver… https://t.co/4ljpq49d51",Stuttgart
2020-11-26 12:45:05,"wolfgang reinhart sagt bei #regierungserklärung im @landtag_bw: 
""#corona-lage bleibt angespannt. beschränkungen ha… https://t.co/9naiqusoqk",Stuttgart
2020-11-26 12:43:25,gleichzeitig wurden aber lockerungen über weihnachten &amp; silvester beschlossen ➡ https://t.co/7a84lxla5g… https://t.co/ovewr7ehdi,Stuttgart
2020-11-26 12:32:52,"@bettsprudel war ein livestream, der ist leide rnur noch gekürzt online. war der startbildschirm für die corona-pre… https://t.co/flsgrzmlrm",Stuttgart
2020-11-26 12:25:55,corona-pandemie in baden-württemberg: thomas strobl schiebt mehr verkaufsoffenen sonntagen riegel vor https://t.co/vyunxacpkf,Stuttgart
2020-11-26 12:16:55,neue corona-maßnahmen: angela merkel sieht derzeit wenig chancen für erleichterungen https://t.co/15g3mic4ul,Stuttgart
2020-11-26 12:10:02,merkel beschwört solidarität im kampf gegen corona-pandemie / 26.11.2020 https://t.co/z3aozceits,Stuttgart
2020-11-26 12:05:34,corona-pandemie in baden-württemberg: thomas strobl schiebt mehr verkaufsoffenen sonntagen riegel vor https://t.co/mzyfa36yut,Stuttgart
2020-11-26 12:05:34,corona-lockerungen zu weihnachten: modellrechnung zeigt mögliche entwicklungen nach dem fest https://t.co/mlfu3j64kk,Stuttgart
2020-11-26 12:03:26,.@jrukwied:  schweinehalter brauchen zugang zu corona-wirtschaftshilfen #schweinemarktkrise ▶️… https://t.co/slrkndn8el,Stuttgart
2020-11-26 11:56:48,neue corona-maßnahmen: angela merkel sieht derzeit wenig chancen für erleichterungen https://t.co/t46r0ftlon,Stuttgart
